Altium Designer Pick and Place Locations
D:\Work\Tomi Projects\Rev5\STM (Loco)\Air\Project Outputs for Kiwi\Pick Place for Loco Air.csv

========================================================================================================================
File Design Information:

Date:       21.12.22
Time:       19:35
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Layer","Center-X(mil)","Center-Y(mil)","Rotation"
"R23","BottomLayer","-228.350","286.220","360"
"R22","BottomLayer","-228.346","251.969","360"
"IC1","TopLayer","-102.362","-377.953","360"
"R20","TopLayer","43.307","-433.071","180"
"R15","TopLayer","43.307","-362.205","180"
"R11","TopLayer","-106.299","-279.528","90"
"R10","TopLayer","-145.669","-279.528","90"
"R6","TopLayer","43.307","-468.504","360"
"Q3","TopLayer","137.008","-381.890","90"
"C7","TopLayer","43.307","-397.638","180"
"C2","TopLayer","-23.622","-468.504","180"
"Q4","TopLayer","259.839","-169.291","180"
"U8","TopLayer","-374.019","-74.803","360"
"R14","TopLayer","255.902","-98.425","360"
"U1","TopLayer","-374.019","59.055","360"
"SW","BottomLayer","0.000","393.701","360"
"R12","TopLayer","-19.688","-216.536","360"
"R2","TopLayer","439.170","-44.488","360"
"R1","TopLayer","-267.720","137.008","180"
"D2","BottomLayer","441.139","-3.937","270"
"C17","BottomLayer","-226.381","-218.504","360"
"C31","BottomLayer","-196.850","-145.669","90"
"C11","TopLayer","-178.201","-145.669","90"
"C9","TopLayer","-307.542","59.055","360"
"C3","TopLayer","-307.090","231.102","360"
"C1","TopLayer","228.343","135.827","90"
"GPS","TopLayer","7.874","94.488","360"
"Q2","TopLayer","169.288","-228.347","360"
"Battery","TopLayer","-291.416","326.694","45"
"U3","BottomLayer","106.294","-16.732","360"
"C4","TopLayer","263.779","-23.622","270"
"C5","TopLayer","277.753","263.780","90"
"C6","TopLayer","250.140","263.780","270"
"C12","BottomLayer","122.047","-374.016","360"
"R3","TopLayer","-19.688","-255.906","360"
"R8","TopLayer","305.312","-23.622","270"
"R9","TopLayer","-19.688","-177.166","360"
"LED1","TopLayer","361.221","0.000","90"
"D1","TopLayer","439.170","38.189","90"
"C32","BottomLayer","-181.106","-236.220","270"
"C18","TopLayer","27.641","443.701","180"
"P1","TopLayer","279.528","-342.520","225"
"Q7","TopLayer","-91.193","362.205","360"
"R13","TopLayer","-19.688","-137.795","360"
"R16","TopLayer","181.099","-299.213","180"
"R17","TopLayer","86.611","-228.347","270"
"R18","TopLayer","110.233","-299.213","180"
"R19","BottomLayer","120.863","-334.646","360"
"R21","BottomLayer","-182.535","369.225","270"
"R24","TopLayer","-255.909","-19.685","90"
"R25","BottomLayer","-331.003","224.708","180"
"R29","BottomLayer","62.992","293.935","360"
"R28","TopLayer","-232.283","286.220","0"
"U5","TopLayer","114.170","372.834","90"
"USB","BottomLayer","-303.153","0.000","90"
"R7","TopLayer","-138.437","-144.685","90"
"Q1","TopLayer","303.146","153.602","90"
"R4","TopLayer","299.209","43.307","0"
"R5","TopLayer","342.517","-169.291","90"
