Altium Designer Pick and Place Locations
D:\Work\Tomi Projects\Rev6\STM (Loco)\Air\Project Outputs for Kiwi\Pick Place for Loco Air.csv

========================================================================================================================
File Design Information:

Date:       26.06.24
Time:       08:23
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Layer","Center-X(mil)","Center-Y(mil)","Rotation"
"U2","TopLayer","21.740","-237.575","270"
"R23","BottomLayer","-181.102","275.591","360"
"R22","BottomLayer","-181.102","241.339","360"
"R6","BottomLayer","3.309","-450.790","180"
"Q3","BottomLayer","37.399","-374.016","90"
"C7","TopLayer","208.661","-177.743","90"
"C2","BottomLayer","82.677","-445.971","0"
"Q4","TopLayer","291.339","-177.166","360"
"U8","BottomLayer","177.165","-372.517","360"
"R14","TopLayer","196.850","-125.759","360"
"U1","TopLayer","275.591","-330.708","225"
"R12","BottomLayer","-192.516","-397.638","270"
"R2","TopLayer","-77.126","-417.323","90"
"R1","TopLayer","192.913","-425.197","45"
"D2","TopLayer","438.976","-25.835","270"
"C17","BottomLayer","-114.173","-293.307","180"
"C31","BottomLayer","-165.354","-311.024","270"
"C11","TopLayer","133.858","-377.953","90"
"C9","TopLayer","165.354","-377.953","270"
"C3","TopLayer","-295.279","231.102","360"
"C1","TopLayer","330.709","137.795","90"
"GPS","TopLayer","74.803","94.488","360"
"Q2","TopLayer","414.102","-137.079","360"
"U3","BottomLayer","149.606","-16.732","360"
"C4","TopLayer","326.772","15.748","270"
"C5","TopLayer","365.461","137.795","270"
"C6","TopLayer","401.575","220.669","225"
"C12","BottomLayer","354.331","-295.276","270"
"R3","TopLayer","383.071","-275.591","225"
"R8","TopLayer","334.646","-51.181","270"
"R9","BottomLayer","-157.480","-397.638","270"
"LED1","TopLayer","373.032","0.000","90"
"D1","TopLayer","-156.064","-401.575","180"
"C32","BottomLayer","-165.354","-248.032","90"
"C18","BottomLayer","-227.165","393.701","270"
"Q7","TopLayer","15.748","362.205","360"
"R13","BottomLayer","-35.433","-335.115","360"
"R16","TopLayer","401.575","-196.851","180"
"R17","TopLayer","334.646","-125.984","270"
"R18","TopLayer","342.520","-232.284","225"
"R19","BottomLayer","275.591","-374.016","360"
"R21","BottomLayer","-155.052","349.409","90"
"R24","TopLayer","-244.095","177.165","90"
"R25","BottomLayer","-319.192","224.708","180"
"R29","BottomLayer","-209.039","312.992","360"
"R28","BottomLayer","-191.340","393.701","90"
"U5","TopLayer","-190.536","362.205","90"
"USB","BottomLayer","-286.450","0.000","90"
"R7","TopLayer","-244.250","-181.102","90"
"Q1","TopLayer","353.516","269.380","135"
"R4","TopLayer","358.268","73.486","0"
"R5","TopLayer","230.315","-237.575","180"
"C8","TopLayer","183.068","-255.905","270"
"Q5","BottomLayer","-94.488","-374.016","90"
"R10","BottomLayer","-68.898","-451.969","360"
"D3","TopLayer","27.559","-440.945","180"
"SW","BottomLayer","0.000","381.890","180"
"Battery","TopLayer","-315.843","341.535","45"
