Altium Designer Pick and Place Locations
D:\Work\Tomi Projects\Rev6\STM (Loco)\Ground\Project Outputs for Kiwi\Pick Place for Loco Ground.csv

========================================================================================================================
File Design Information:

Date:       30.05.24
Time:       17:10
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Layer","Center-X(mil)","Center-Y(mil)","Rotation"
"IO0","TopLayer","2789.444","386.823","180"
"EN","TopLayer","2789.444","583.673","180"
"D1","TopLayer","1535.433","554.146","90"
"USB","TopLayer","1314.968","161.983","0"
"U5","TopLayer","1797.556","213.594","90"
"R19","TopLayer","1082.677","71.862","90"
"R18","TopLayer","1545.784","60.051","90"
"R16","TopLayer","1318.898","623.043","360"
"R15","TopLayer","2480.315","760.838","360"
"R11","TopLayer","1921.260","386.823","180"
"R10","TopLayer","1803.150","386.823","180"
"R9","TopLayer","1417.323","623.043","0"
"R8","TopLayer","2598.425","760.838","0"
"R7","TopLayer","2577.165","433.071","90"
"R6","TopLayer","2251.968","696.850","90"
"R5","TopLayer","1645.669","727.004","90"
"R1","TopLayer","1929.134","603.358","180"
"C11","TopLayer","1685.039","32.492","180"
"R2","TopLayer","2565.469","520.681","180"
"R4","TopLayer","2645.669","287.413","180"
"U2","TopLayer","3457.875","406.508","360"
"CN1","TopLayer","127.165","404.539","90"
"C12","TopLayer","1062.992","426.193","360"
"U6","TopLayer","579.153","370.082","225"
"C4","TopLayer","2027.559","701.783","270"
"C5","TopLayer","3035.433","670.287","90"
"C8","TopLayer","2545.669","623.634","360"
"C1","TopLayer","1070.866","721.815","90"
"C2","TopLayer","1307.087","721.815","90"
"C7","TopLayer","1791.339","701.783","270"
"C6","TopLayer","1728.347","701.783","90"
"C13","TopLayer","3035.433","560.781","270"
"C14","TopLayer","905.512","485.248","315"
"R3","TopLayer","1811.024","603.358","360"
"U4","TopLayer","1909.449","701.783","180"
"U1","TopLayer","1188.976","721.815","360"
"C10","TopLayer","1609.858","455.718","270"
"C9","TopLayer","942.296","524.589","135"
"LED1","TopLayer","1256.892","406.508","180"
"R12","TopLayer","2543.701","209.657","360"
"R14","TopLayer","2543.701","91.547","360"
"R13","TopLayer","2543.701","150.602","360"
"BAT","BottomLayer","1795.275","406.508","180"
"SW","TopLayer","2244.095","406.508","90"
"Q1","TopLayer","1547.244","727.004","180"
"Q2","TopLayer","2543.701","328.752","90"
"Q3","TopLayer","1921.260","485.248","90"
"Q4","TopLayer","1803.150","485.248","90"
"Q5","TopLayer","1685.039","485.248","90"
"R17","TopLayer","1685.039","386.823","180"
